,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,19.0,7.0,6.999999999999999,5.999999999999993,0.9999999999999929,0.0
2,10.0,2.9999999999999876,1.0,1.0,1.0,0.0
