order,from type,to type,upgrade amount
1,1,2,0.0
2,1,2,0.0
3,1,2,11.000000000000002
4,1,2,0.0
5,1,2,0.0
6,1,2,0.0
7,1,2,0.0
8,1,2,0.0
9,1,2,0.0
10,1,2,9.000000000000004
11,1,2,0.0
12,1,2,0.0
