,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,10.0,10.0,10.0,10.0,10.0,10.0
2,0.0,0.0,-0.0,3.0,3.0,3.0
