,obj,time,agent_ub,ind_ub,capacity_value,income_ub
0,375629.1336944411,223.67804450000403,643563.448950058,157350.0,609725.6754618074,535470.0
1,337770.3332804348,121.69324190000043,705063.3963849589,157350.0,626199.6986068556,535470.0
2,375498.17025692936,111.26916520000668,621168.1199418419,157350.0,609606.8305321274,535470.0
3,463812.17018971767,119.82693580000341,630636.5777271837,157350.0,601683.7104259132,535470.0
4,414079.1921431515,393.0729677999989,628590.8996192698,157350.0,591327.3849850779,535470.0
