,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,457679.7704305494,4216.457510899985,0.04996830805693801,782385.5354184394,236025.0,647140.8611032385,551205.0
1,400869.2429161703,11089.695057400007,0.11400827650154327,733389.9596618665,236025.0,597042.4881200116,551205.0
2,432441.17488291644,1589.9699626000074,0.04992733144035545,628828.9078562447,236025.0,593576.5894796957,551205.0
3,392176.0812640543,2198.2904516000126,0.04986342040697944,509236.9028673979,236025.0,539105.3481448377,551205.0
4,349359.16422804794,519.8849669999909,0.048544865448488815,626725.1941185445,236025.0,574860.721024377,551205.0
5,391597.15303186304,447.18547279998893,0.049198688603504924,721549.6196882536,236025.0,656861.7975612441,551205.0
6,357799.25647912844,2122.378245700005,0.04973202339658936,663851.7539856214,236025.0,597333.6562395212,551205.0
7,405000.3224955254,791.232913099986,0.04992892039498715,604320.2490785238,236025.0,554803.3372998212,551205.0
8,434412.9471522976,313.5781002000149,0.04972870265247829,563691.2145540538,236025.0,543316.2505875076,551205.0
9,429463.5524281095,10867.768181799998,0.15840238842801463,777308.0866428039,236025.0,531038.528991715,551205.0
