,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,11.0,11.0,11.0,9.0,15.0,14.999999999999998
2,4.0,4.0,4.0,3.0,4.999999999999999,5.0
