,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,9.0,9.0,9.0,19.0,18.0
2,10.0,5.0,5.0,5.0,7.0,5.0
