,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,2.0,2.0,2.0,2.0,2.0,2.0
2,2.0,2.0,2.0,2.0,4.0,4.0
