,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,20.0,6.999999999999989,7.0,7.0,7.0
2,10.0,10.0,2.0,2.0,2.0,2.0
