,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,2.9999999999999893,3.0,3.0,3.0,4.0,5.0
2,0.0,0.0,0.0,0.0,0.9999999999999996,1.0
