,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,10.0,10.0,10.0,0.0,13.0,13.0
2,3.0,3.0,3.0,0.0,5.0,5.0
