,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,20.0,4.0,4.0,4.0,4.0
2,10.0,10.0,4.0,4.0,4.0,4.0
