,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,20.0,9.0,9.0,9.0,9.0
2,10.0,10.0,3.0,3.0,2.9999999999999964,3.0
