,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,6.0,6.000000000000009,6.0,6.0,20.0
2,10.0,1.0,1.0,1.0,1.0,5.0
