,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,8.999999999999993,9.0,9.0,8.999999999999991,0.0,7.0
2,3.0,3.0,3.0,3.0,0.0,1.0
