,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,8.99999999999998,8.999999999999948,9.0,8.999999999999998,9.0,9.0
2,0.0,0.0,0.0,2.000000000000009,2.0,2.0
