,Room1,Room2,Room3,Room4,Room5,Room6
Room1,0.0,0.09828672941626138,0.06307863875210258,0.07169195652310366,0.03818051337858722,0.0344427252607477
Room2,0.1196814733915053,0.0,0.07489241115100426,0.0446362509172889,0.06016299155553721,0.05515915879134119
Room3,0.11092703024411758,0.12803131951553096,0.0,0.05482940526779767,0.06146090957014022,0.08606881446451808
Room4,0.11185973993013339,0.12009400026829076,0.13002396869037713,0.0,0.10994416641486486,0.09723167870514818
Room5,0.1135420853890424,0.09881370039651716,0.10542780042408897,0.053065215875312786,0.0,0.17813747264721372
Room6,0.05598267554624291,0.10022820072398175,0.11527414156224362,0.1829869097279974,0.2398817646482066,0.0
