,Room1,Room2,Room3,Room4,Room5,Room6
Room1,0.0,0.08373070941939321,0.05140671334279132,0.050719353146582644,0.03799483450935513,0.031037831170411385
Room2,0.08279605789868008,0.0,0.05005405888739889,0.055206255670340355,0.04998212971449047,0.05404830195213127
Room3,0.11099004043299347,0.09280910610396452,0.0,0.04803603541458888,0.06135600752076624,0.05763071767050228
Room4,0.08616030210051369,0.09048002220768647,0.08392792046322527,0.0,0.07958598004313755,0.09583198932519572
Room5,0.12787012188919747,0.1144312184106755,0.08518398044443533,0.0725931718888432,0.0,0.14837227661879165
Room6,0.176007326007326,0.08555555555555555,0.05206349206349207,0.18010989010989012,0.12039682539682539,0.0
