,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,16.0,17.0,9.0,8.999999999999995,19.0,11.0
2,10.0,10.0,3.0,3.0,3.0,3.0
