,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,16.0,7.0,7.0,7.0,4.0,6.999999999999986
2,10.0,2.0,2.0,2.0,1.0,1.0
