,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,10.0,10.0,10.0,19.0,12.0,6.000000000000003
2,0.0,0.0,0.0,3.0,7.0,4.0
