,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,1983948.010417326,0.007796699999999657,,3266701.8311797325,556459.375,3440233.7627920764,3947291.875
1,2618300.5358315227,0.007924599999999948,,3476949.9013397605,556459.375,3610888.8584093656,3947291.875
2,2150265.118100599,0.015630199999999927,,3606910.2835317883,556459.375,3857502.581780824,3947291.875
3,2086468.781011928,0.017926899999999968,,3476535.016623052,556459.375,3417183.8125430415,3947291.875
4,2518426.119373992,0.01338399999999984,,3454212.4946001833,556459.375,3524679.0792227047,3947291.875
