,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,12.999999999999998,13.0,13.0,0.0,0.0,0.0
2,1.0,1.0,1.0,0.0,0.0,0.0
