,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,19.0,19.0,12.0,12.0,0.0,6.0
2,10.0,10.0,2.0,2.0,0.0,2.0
