,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,8.0,19.0,19.0,19.0,4.0,4.0
2,0.0,9.0,9.0,9.0,1.0,1.0
