,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,1.0000000000000002,2.0,2.0,1.0,2.999999999999993,3.0
2,1.0,1.0,1.0,1.0,2.0,2.0
