,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,12.0,12.0,12.0,8.0,8.0,9.0
2,2.9999999999999964,3.0,3.0,3.0,1.0,1.9999999999999964
