room,time,demand_ID,rev
1,1,1,0.0
1,1,2,1.0
1,1,3,2.0
1,1,4,3.0
1,1,5,4.0
1,1,6,5.0
1,1,7,6.0
1,1,8,7.0
1,1,9,8.0
1,1,10,9.0
1,1,11,10.0
1,1,12,11.0
1,1,13,12.0
1,1,14,12.0
1,1,15,12.0
1,1,16,12.0
1,1,17,12.0
1,1,18,12.000000000000009
1,1,19,12.000000000000009
1,1,20,12.000000000000009
1,1,21,12.0
1,2,1,0.0
1,2,2,1.0
1,2,3,2.0
1,2,4,3.0
1,2,5,4.0
1,2,6,5.0
1,2,7,6.0
1,2,8,7.0
1,2,9,8.0
1,2,10,9.0
1,2,11,10.0
1,2,12,11.0
1,2,13,12.0
1,2,14,12.0
1,2,15,12.000000000000021
1,2,16,12.000000000000021
1,2,17,12.000000000000021
1,2,18,12.000000000000009
1,2,19,12.000000000000009
1,2,20,12.000000000000007
1,2,21,12.000000000000025
1,3,1,0.0
1,3,2,1.0
1,3,3,2.0
1,3,4,3.0
1,3,5,4.0
1,3,6,3.9999999999999787
1,3,7,3.9999999999999782
1,3,8,3.9999999999999636
1,3,9,3.9999999999999565
1,3,10,3.9999999999999565
1,3,11,3.9999999999999556
1,3,12,3.9999999999999556
1,3,13,3.9999999999999556
1,3,14,3.9999999999999556
1,3,15,3.9999999999999556
1,3,16,3.999999999999945
1,3,17,3.999999999999952
1,3,18,3.999999999999961
1,3,19,3.999999999999954
1,3,20,3.999999999999954
1,3,21,3.999999999999954
1,4,1,0.0
1,4,2,1.0
1,4,3,2.0
1,4,4,3.0
1,4,5,4.0
1,4,6,3.9999999999999787
1,4,7,3.9999999999999782
1,4,8,3.9999999999999494
1,4,9,3.9999999999999423
1,4,10,3.999999999999928
1,4,11,3.999999999999927
1,4,12,3.999999999999927
1,4,13,3.999999999999927
1,4,14,3.999999999999927
1,4,15,3.999999999999927
1,4,16,3.999999999999927
1,4,17,3.9999999999999254
1,4,18,3.9999999999999325
1,4,19,3.9999999999999254
1,4,20,3.9999999999999254
1,4,21,3.9999999999999254
1,5,1,0.0
1,5,2,1.0
1,5,3,2.0
1,5,4,3.0
1,5,5,4.0
1,5,6,5.0
1,5,7,6.0
1,5,8,7.0
1,5,9,8.0
1,5,10,9.0
1,5,11,10.0
1,5,12,11.0
1,5,13,12.0
1,5,14,12.000000000000036
1,5,15,11.999999999999957
1,5,16,11.999999999999957
1,5,17,11.999999999999957
1,5,18,11.999999999999957
1,5,19,11.999999999999956
1,5,20,11.999999999999956
1,5,21,11.999999999999954
1,6,1,0.0
1,6,2,1.0
1,6,3,2.0
1,6,4,3.0
1,6,5,4.0
1,6,6,5.0
1,6,7,6.0
1,6,8,7.0
1,6,9,8.0
1,6,10,9.0
1,6,11,10.0
1,6,12,11.0
1,6,13,12.0
1,6,14,12.000000000000039
1,6,15,12.000000000000039
1,6,16,12.000000000000039
1,6,17,12.000000000000039
1,6,18,12.000000000000039
1,6,19,12.000000000000039
1,6,20,12.000000000000039
1,6,21,12.000000000000039
2,1,1,0.0
2,1,2,1.0
2,1,3,2.0
2,1,4,3.0
2,1,5,4.0
2,1,6,3.9999999999999822
2,1,7,3.999999999999982
2,1,8,3.9999999999999813
2,1,9,3.9999999999999813
2,1,10,3.9999999999999813
2,1,11,3.999999999999991
2,2,1,0.0
2,2,2,1.0
2,2,3,2.0
2,2,4,3.0
2,2,5,4.0
2,2,6,3.9999999999999822
2,2,7,3.999999999999982
2,2,8,3.9999999999999813
2,2,9,3.9999999999999813
2,2,10,3.9999999999999813
2,2,11,3.999999999999991
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,3,7,0.0
2,3,8,0.0
2,3,9,0.0
2,3,10,0.0
2,3,11,0.0
2,4,1,0.0
2,4,2,0.0
2,4,3,0.0
2,4,4,0.0
2,4,5,0.0
2,4,6,0.0
2,4,7,0.0
2,4,8,0.0
2,4,9,0.0
2,4,10,0.0
2,4,11,0.0
2,5,1,0.0
2,5,2,1.0
2,5,3,2.0
2,5,4,3.0
2,5,5,4.0
2,5,6,5.0
2,5,7,6.0
2,5,8,5.9999999999999805
2,5,9,5.9999999999999805
2,5,10,5.99999999999998
2,5,11,5.999999999999981
2,6,1,0.0
2,6,2,1.0
2,6,3,2.0
2,6,4,3.0
2,6,5,4.0
2,6,6,5.0
2,6,7,6.0
2,6,8,5.9999999999999805
2,6,9,5.9999999999999805
2,6,10,5.99999999999998
2,6,11,5.999999999999981
