,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,440545.6233716238,0.8783262999999977,0.0,926573.4623540493,236025.0,592323.0207294901,551205.0
1,451674.040038915,0.9450453999999979,0.03328398644694408,870763.3121462313,236025.0,485551.7820773132,551205.0
2,479448.678407239,0.9831208000000018,0.002070474315953761,571749.1736069517,236025.0,473151.15928815916,551205.0
3,498590.2799584249,0.9389048000000031,0.01556037505779765,590593.9330707592,236025.0,476437.42540101387,551205.0
4,528967.7904238496,0.9174907000000019,0.0,653080.4692263237,236025.0,512452.7200151721,551205.0
5,457813.18680585973,0.9462666000000013,0.0,635136.7175408694,236025.0,492645.6461117075,551205.0
6,378500.3503712286,0.8560536999999968,3.075699182649529e-16,571274.4181351194,236025.0,487140.1115129785,551205.0
7,554859.8848039707,0.9733744999999985,0.0,650300.306206729,236025.0,522563.23326960765,551205.0
8,533562.9389548872,0.9341787000000039,2.1818479757039073e-16,772079.961285298,236025.0,541183.6952918391,551205.0
9,466615.38048585434,1.0368537999999958,0.048823268447359,750059.8294263879,236025.0,540649.6171085892,551205.0
