room,time,outcome,sale
1,12,4,-0.0
1,12,5,-0.0
1,12,6,-0.0
1,12,7,-0.0
1,12,8,-0.0
1,12,9,-0.0
1,12,10,-0.0
1,12,11,-0.0
1,12,12,-0.0
1,12,13,-0.0
1,12,14,-0.0
1,12,15,-0.0
1,12,16,-0.0
1,12,17,-0.0
1,12,18,-0.0
1,12,19,-0.0
1,12,20,-0.0
1,12,21,-0.0
1,12,22,-0.0
1,12,23,-0.0
1,12,24,-0.0
1,12,25,-0.0
1,12,26,-0.0
1,12,27,-0.0
1,12,28,-0.0
1,12,29,-0.0
1,12,30,-0.0
1,12,31,-0.0
1,12,32,31.0
1,12,33,32.0
1,12,34,33.0
1,12,35,34.0
1,12,36,35.0
1,12,37,36.0
1,12,38,37.0
1,12,39,38.0
1,12,40,39.0
1,12,41,40.0
1,12,42,41.0
1,12,43,42.0
1,12,44,43.0
1,12,45,44.0
1,12,46,45.0
1,12,47,46.0
1,12,48,47.0
1,12,49,48.0
1,12,50,49.0
1,12,51,50.0
1,12,52,51.0
1,12,53,52.0
1,12,54,53.0
1,12,55,54.0
1,12,56,55.0
1,12,57,56.0
1,12,58,57.0
1,12,59,58.0
1,12,60,59.0
1,12,61,60.0
1,12,62,61.0
1,12,63,62.0
1,12,64,63.0
1,12,65,64.0
1,12,66,65.0
1,12,67,66.0
1,12,68,67.0
1,12,69,68.0
1,12,70,69.0
1,12,71,70.0
1,12,72,71.0
1,12,73,72.0
1,12,74,73.0
1,12,75,74.0
1,12,76,75.0
1,12,77,76.0
1,12,78,77.0
1,12,79,78.0
1,12,80,79.0
1,12,81,80.0
1,12,82,81.0
1,12,83,82.0
1,12,84,83.0
1,12,85,84.0
1,12,86,85.0
1,12,87,86.0
1,12,88,87.0
1,12,89,88.0
1,12,90,89.0
1,12,91,90.0
1,12,92,91.0
1,12,93,92.0
1,12,94,-0.0
1,12,95,-0.0
1,12,96,-0.0
1,12,97,-0.0
1,12,98,-0.0
1,12,99,-0.0
1,12,100,-0.0
1,12,101,-0.0
1,13,1,-0.0
1,13,2,-0.0
1,13,3,-0.0
1,13,4,-0.0
1,13,5,-0.0
1,13,6,-0.0
1,13,7,-0.0
1,13,8,-0.0
1,13,9,-0.0
1,13,10,-0.0
1,13,11,-0.0
1,13,12,-0.0
1,13,13,-0.0
1,13,14,-0.0
1,13,15,-0.0
1,13,16,-0.0
1,13,17,-0.0
1,13,18,-0.0
1,13,19,-0.0
1,13,20,-0.0
1,13,21,-0.0
1,13,22,-0.0
1,13,23,-0.0
1,13,24,-0.0
1,13,25,-0.0
1,13,26,-0.0
1,13,27,-0.0
1,13,28,-0.0
1,13,29,-0.0
1,13,30,-0.0
1,13,31,-0.0
1,13,32,-0.0
1,13,33,-0.0
1,13,34,-0.0
1,13,35,-0.0
1,13,36,-0.0
1,13,37,-0.0
1,13,38,-0.0
1,13,39,-0.0
1,13,40,-0.0
1,13,41,-0.0
1,13,42,-0.0
1,13,43,-0.0
1,13,44,-0.0
1,13,45,-0.0
1,13,46,-0.0
1,13,47,-0.0
1,13,48,-0.0
1,13,49,-0.0
1,13,50,-0.0
1,13,51,-0.0
1,13,52,-0.0
1,13,53,-0.0
1,13,54,-0.0
1,13,55,54.0
1,13,56,55.0
1,13,57,56.0
1,13,58,57.0
1,13,59,58.0
1,13,60,59.0
1,13,61,60.0
1,13,62,61.0
1,13,63,62.0
1,13,64,63.0
1,13,65,64.0
1,13,66,65.0
1,13,67,66.0
1,13,68,67.0
1,13,69,68.0
1,13,70,69.0
1,13,71,70.0
1,13,72,71.0
