,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,11.0,11.0,11.0,0.0,9.0,9.0
2,4.0,4.0,4.0,0.0,5.0,7.0
