,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,2.0,2.0,1.9999999999999583,2.0,3.999999999999964,4.000000000000001
2,2.0,2.0000000000000004,2.0,2.0,3.0,2.9999999999999964
