,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,19.0,11.0,11.0,11.0,10.0,10.0
2,10.0,3.0,3.0,3.0,3.0,3.0
