room,time,demand_ID,rev
1,1,1,0.0
1,1,2,1.0
1,1,3,2.0
1,1,4,3.0
1,1,5,4.0
1,1,6,5.0
1,1,7,6.0
1,1,8,6.0
1,1,9,6.0
1,1,10,6.0
1,1,11,6.0
1,1,12,6.0
1,1,13,6.0
1,1,14,6.0
1,1,15,6.0
1,1,16,6.0
1,1,17,6.0
1,1,18,6.0
1,1,19,6.0
1,1,20,6.0
1,1,21,5.999999999999993
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.0
1,2,16,0.0
1,2,17,0.0
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.0
1,3,16,0.0
1,3,17,0.0
1,3,18,0.0
1,3,19,0.0
1,3,20,0.0
1,3,21,0.0
1,4,1,0.0
1,4,2,1.0
1,4,3,2.0
1,4,4,3.0
1,4,5,4.0
1,4,6,5.0
1,4,7,6.0
1,4,8,7.0
1,4,9,8.0
1,4,10,9.0
1,4,11,10.0
1,4,12,11.0
1,4,13,12.0
1,4,14,12.0
1,4,15,12.0
1,4,16,12.0
1,4,17,12.0
1,4,18,12.0
1,4,19,11.999999999999998
1,4,20,12.0
1,4,21,12.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,0.0
1,5,8,0.0
1,5,9,0.0
1,5,10,0.0
1,5,11,0.0
1,5,12,0.0
1,5,13,0.0
1,5,14,0.0
1,5,15,0.0
1,5,16,0.0
1,5,17,0.0
1,5,18,0.0
1,5,19,0.0
1,5,20,0.0
1,5,21,0.0
1,6,1,0.0
1,6,2,1.0
1,6,3,2.0
1,6,4,3.0
1,6,5,3.0
1,6,6,3.0
1,6,7,3.0
1,6,8,3.0
1,6,9,3.0
1,6,10,3.0
1,6,11,3.0
1,6,12,3.0
1,6,13,3.0
1,6,14,3.0
1,6,15,3.0
1,6,16,3.0
1,6,17,3.0
1,6,18,3.0
1,6,19,3.0
1,6,20,3.0
1,6,21,3.0
2,1,1,0.0
2,1,2,1.0
2,1,3,2.0
2,1,4,3.0
2,1,5,4.0
2,1,6,5.0
2,1,7,6.0
2,1,8,7.0
2,1,9,8.0
2,1,10,9.0
2,1,11,10.0
2,2,1,0.0
2,2,2,0.0
2,2,3,0.0
2,2,4,0.0
2,2,5,0.0
2,2,6,0.0
2,2,7,0.0
2,2,8,0.0
2,2,9,0.0
2,2,10,0.0
2,2,11,0.0
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,3,7,-0.0
2,3,8,0.0
2,3,9,0.0
2,3,10,0.0
2,3,11,0.0
2,4,1,0.0
2,4,2,1.0
2,4,3,1.0
2,4,4,1.0
2,4,5,1.0
2,4,6,1.0
2,4,7,1.0
2,4,8,1.0
2,4,9,1.0
2,4,10,1.0
2,4,11,1.0
2,5,1,0.0
2,5,2,0.0
2,5,3,0.0
2,5,4,0.0
2,5,5,0.0
2,5,6,0.0
2,5,7,0.0
2,5,8,0.0
2,5,9,0.0
2,5,10,0.0
2,5,11,0.0
2,6,1,0.0
2,6,2,1.0
2,6,3,1.0
2,6,4,1.0
2,6,5,1.0
2,6,6,1.0
2,6,7,1.0
2,6,8,1.0
2,6,9,1.0
2,6,10,1.0
2,6,11,1.0
