,,,0
1,1,1,0.0
1,1,2,5.383959288335566
1,2,1,0.0
1,2,2,0.0
2,1,1,0.0
2,1,2,0.0
2,2,1,0.0
2,2,2,0.0
3,1,1,0.0
3,1,2,2.64055413844287
3,2,1,0.0
3,2,2,0.0
4,1,1,0.0
4,1,2,0.0
4,2,1,0.0
4,2,2,0.0
