,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,20.0,8.999999999999998,9.0,9.000000000000002,9.0
2,10.0,10.0,3.0,3.0,3.0,3.0
