,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,5.999999999999993,6.0,6.0,6.0,20.0
2,10.0,2.9999999999999964,2.9999999999999987,3.0,2.9999999999999964,5.0
