,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,10.0,10.0,10.0,10.0,6.0,9.0
2,4.0,4.0,4.0,4.0,1.0,2.0
