stay mul,high request room,ind demand mul,obj,reject capacity ratio,time
0.250,2,0.5,1244477.644398375,0.6778533635676492,18.469300800000003
0.250,2,1,1269067.0635588015,0.7047921390778533,16.51610809999999
0.250,2,2,1312292.5525530644,0.7621466364323507,15.149919160000001
0.250,0,0.5,1019370.063418949,0.7804837490551776,13.660947720000006
0.250,0,1,1061352.2955597937,0.7958427815570672,13.772151080000004
0.250,0,2,1130342.8617892521,0.8370672713529856,11.686171839999997
0.250,5,0.5,1512143.8841153078,0.5943613001580428,26.175505199999996
0.250,5,1,1531520.5806548395,0.6139531368102797,21.645019920000003
0.250,5,2,1564205.4217297013,0.6648828420256991,20.745014640000022
0.200,2,0.5,1270368.9656432406,0.6423129251700681,25.566480460000026
0.200,2,1,1292835.1266432297,0.6724716553922807,20.012284919999978
0.200,2,2,1331327.155197529,0.7370370370915055,18.858762079999952
0.200,0,0.5,1064644.484363481,0.7410430839002268,17.524510359999976
0.200,0,1,1103882.2168967626,0.7616326530612245,15.98804514000003
0.200,0,2,1172453.941892134,0.8101133786848072,14.13939949999999
0.200,5,0.5,1507073.253746013,0.5851851851851853,27.57798757999999
0.200,5,1,1524365.5829949281,0.6186092216175341,25.98791143999997
0.200,5,2,1556134.9641058245,0.6759939531368103,24.05243870000004
0.143,2,0.5,1289360.7942516818,0.6419954648114948,30.741946180000014
0.143,2,1,1311453.4447289384,0.6725925925925926,25.968960380000045
0.143,2,2,1350074.3225038077,0.7403023431594861,24.826578900000094
0.143,0,0.5,1061765.9410983548,0.7378684807256236,21.342957019999993
0.143,0,1,1098909.369548089,0.7605593348450492,20.960277640000005
0.143,0,2,1164807.1800555899,0.8073318216175359,18.01248947999993
0.143,5,0.5,1530272.5647419095,0.5660317460987976,39.12120286
0.143,5,1,1547317.075639349,0.6008465608465609,37.65525321999994
0.143,5,2,1577270.0637082392,0.663461829176115,32.07332125999992
0.111,2,0.5,1315841.2846343433,0.616235827647954,34.91484719999998
0.111,2,1,1336081.8637374728,0.6535449735449735,34.09583303999998
0.111,2,2,1372537.0088583005,0.7291458805895924,33.52263361999985
0.111,0,0.5,1066784.0528791812,0.7154950869236584,27.366889619999984
0.111,0,1,1101120.1308315434,0.7403023431594868,28.474375619999954
0.111,0,2,1163862.2882592415,0.8017233560090704,29.187926399999924
0.111,5,0.5,1557660.1683691195,0.5512471655126118,46.25405295999981
0.111,5,1,1571738.741934625,0.5858654572638471,46.69659781999981
0.111,5,2,1598428.3585934073,0.6565532879818594,46.19598358000003
