,ind_demand_0.5,ind_demand_1,ind_demand_2
stay_mul_0.048_high_request_room_id_0,785829.9368068101,833232.5616869708,896481.065914542
stay_mul_0.048_high_request_room_id_5,802313.0942056722,863898.6801927811,936569.3298655231
stay_mul_0.143_high_request_room_id_0,769038.6157015259,820661.5553517761,887792.2318251
stay_mul_0.143_high_request_room_id_5,800298.3649760135,861638.6302380802,931904.6644399387
stay_mul_0.500_high_request_room_id_0,730869.8024606609,792090.6592440468,870996.4639880477
stay_mul_0.500_high_request_room_id_5,743751.0738660889,814069.2772123269,906490.9355527267
