,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,13.000000000000565,13.0,13.000000000000565,13.000000000000565,0.0,5.0
2,2.0,2.0,1.0,1.9999999999999927,0.0,1.0
