,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,16.0,9.000000000000002,17.0,11.0,0.0,8.0
2,0.0,0.0,0.0,0.0,3.0,1.0
