,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,8.0,8.0,8.0,20.0,8.000000000000002
2,10.0,2.0,2.0,2.0,3.0,2.0
