,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,9.000000000000002,9.000000000000002,9.000000000000002,20.0,3.0,3.0
2,0.0,0.0,0.0,3.0,2.0,2.0
