,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,9.0,9.0,9.0,9.0,0.0,7.0
2,3.0000000000000004,3.0,3.0,3.0,0.0,1.0
