,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,20.0,20.0,6.999999999999999,6.999999999999999,6.999999999999967,6.999999999999999
2,10.0,10.0,0.0,0.0,0.0,0.0
