room,time,demand_ID,rev
1,1,1,0.0
1,1,2,1.0
1,1,3,2.0
1,1,4,3.0
1,1,5,4.0
1,1,6,5.0
1,1,7,6.0
1,1,8,7.0
1,1,9,8.0
1,1,10,9.0
1,1,11,10.0
1,1,12,11.0
1,1,13,12.0
1,1,14,13.0
1,1,15,14.0
1,1,16,15.0
1,1,17,16.0
1,1,18,17.0
1,1,19,18.0
1,1,20,19.0
1,1,21,20.0
1,1,22,21.0
1,1,23,22.0
1,1,24,23.0
1,1,25,24.0
1,1,26,25.0
1,1,27,26.0
1,1,28,27.0
1,1,29,28.0
1,1,30,29.0
1,1,31,30.0
1,1,32,31.0
1,1,33,32.0
1,1,34,33.0
1,1,35,34.0
1,1,36,35.0
1,1,37,36.0
1,1,38,37.0
1,1,39,38.0
1,1,40,39.0
1,1,41,40.0
1,10,1,0.0
1,10,2,1.0
1,10,3,2.0
1,10,4,3.0
1,10,5,4.0
1,10,6,5.0
1,10,7,6.0
1,10,8,7.0
1,10,9,8.0
1,10,10,9.0
1,10,11,10.0
1,10,12,11.0
1,10,13,12.0
1,10,14,13.0
1,10,15,14.0
1,10,16,14.0
1,10,17,14.0
1,10,18,14.0
1,10,19,14.0
1,10,20,14.0
1,10,21,14.0
1,10,22,14.0
1,10,23,14.0
1,10,24,13.999999999999982
1,10,25,13.999999999999982
1,10,26,13.999999999999982
1,10,27,14.0
1,10,28,14.0
1,10,29,13.999999999999982
1,10,30,14.0
1,10,31,14.0
1,10,32,13.999999999999982
1,10,33,14.0
1,10,34,13.99999999999994
1,10,35,14.0
1,10,36,13.999999999999932
1,10,37,13.999999999999932
1,10,38,13.999999999999925
1,10,39,13.999999999999932
1,10,40,13.999999999999932
1,10,41,14.0
1,11,1,0.0
1,11,2,1.0
1,11,3,2.0
1,11,4,3.0
1,11,5,4.0
1,11,6,5.0
1,11,7,6.0
1,11,8,7.0
1,11,9,8.0
1,11,10,9.0
1,11,11,10.0
1,11,12,11.0
1,11,13,12.0
1,11,14,13.0
1,11,15,14.0
1,11,16,14.0
1,11,17,14.0
1,11,18,13.999999999999929
1,11,19,13.999999999999929
1,11,20,14.0
1,11,21,14.0
1,11,22,13.999999999999947
1,11,23,13.999999999999947
1,11,24,13.99999999999994
1,11,25,13.99999999999994
1,11,26,13.99999999999994
1,11,27,14.0
1,11,28,14.000000000002089
1,11,29,14.000000000002089
1,11,30,14.0
1,11,31,14.000000000002089
1,11,32,14.000000000002089
1,11,33,14.000000000002089
1,11,34,14.000000000002089
1,11,35,14.000000000002093
1,11,36,14.000000000002093
1,11,37,14.000000000002093
1,11,38,14.000000000002093
1,11,39,14.000000000002093
1,11,40,14.000000000002093
1,11,41,14.000000000002093
1,12,1,0.0
1,12,2,1.0
1,12,3,2.0
1,12,4,3.0
1,12,5,4.0
1,12,6,5.0
1,12,7,6.0
1,12,8,7.0
1,12,9,8.0
1,12,10,9.0
1,12,11,10.0
1,12,12,11.0
1,12,13,12.0
1,12,14,13.0
1,12,15,14.0
1,12,16,13.999999999999815
1,12,17,13.999999999999815
1,12,18,13.999999999999815
1,12,19,13.999999999999815
1,12,20,13.999999999999815
1,12,21,13.999999999999813
1,12,22,13.999999999999813
1,12,23,13.999999999999813
1,12,24,13.99999999999977
1,12,25,13.99999999999977
1,12,26,13.99999999999977
1,12,27,13.999999999999769
1,12,28,13.999999999999755
1,12,29,13.999999999999755
1,12,30,14.0
1,12,31,13.999999999999755
1,12,32,13.999999999999755
1,12,33,13.999999999999755
1,12,34,14.0
1,12,35,14.000000000003816
1,12,36,14.000000000003816
1,12,37,14.000000000003816
1,12,38,14.000000000003816
1,12,39,14.000000000003816
1,12,40,14.000000000003816
1,12,41,14.000000000003816
1,13,1,0.0
1,13,2,1.0
1,13,3,2.0
1,13,4,3.0
1,13,5,4.0
1,13,6,5.0
1,13,7,6.0
1,13,8,7.0
1,13,9,8.0
1,13,10,9.0
1,13,11,10.0
1,13,12,11.0
1,13,13,12.0
1,13,14,13.0
1,13,15,14.0
1,13,16,14.0
1,13,17,13.999999999999815
1,13,18,13.999999999999815
1,13,19,13.999999999999815
1,13,20,13.999999999999815
1,13,21,13.999999999999813
1,13,22,13.999999999999813
1,13,23,13.999999999999813
1,13,24,14.0
1,13,25,14.000000000003816
1,13,26,14.0
1,13,27,14.000000000003816
1,13,28,14.000000000003816
1,13,29,14.000000000003816
1,13,30,14.0
1,13,31,14.0
1,13,32,14.000000000003816
1,13,33,14.000000000003816
1,13,34,14.000000000003816
1,13,35,14.000000000003816
1,13,36,14.000000000003816
1,13,37,14.000000000003816
1,13,38,14.000000000003816
1,13,39,14.0
1,13,40,14.000000000003816
1,13,41,14.000000000003816
1,14,1,0.0
1,14,2,1.0
1,14,3,2.0
1,14,4,3.0
1,14,5,4.0
1,14,6,5.0
1,14,7,6.0
1,14,8,7.0
1,14,9,8.0
1,14,10,9.0
1,14,11,10.0
1,14,12,11.0
1,14,13,12.0
1,14,14,13.0
1,14,15,14.0
1,14,16,14.0
1,14,17,13.999999999999815
1,14,18,13.999999999999815
1,14,19,13.999999999999815
1,14,20,13.999999999999815
1,14,21,13.999999999999813
1,14,22,13.999999999999813
1,14,23,13.999999999999813
1,14,24,14.0
1,14,25,14.000000000003816
1,14,26,14.0
1,14,27,14.000000000003816
1,14,28,14.000000000003816
1,14,29,14.000000000003816
1,14,30,14.0
1,14,31,14.0
1,14,32,14.000000000003816
1,14,33,14.000000000003816
1,14,34,14.000000000003816
1,14,35,14.000000000003816
1,14,36,14.000000000003816
1,14,37,14.000000000003816
1,14,38,14.000000000003816
1,14,39,14.0
1,14,40,14.000000000003816
1,14,41,14.000000000003816
1,2,1,0.0
1,2,2,1.0
1,2,3,2.0
1,2,4,3.0
1,2,5,4.0
1,2,6,5.0
1,2,7,6.0
1,2,8,7.0
1,2,9,8.0
1,2,10,9.0
1,2,11,10.0
1,2,12,11.0
1,2,13,12.0
1,2,14,13.0
1,2,15,14.0
1,2,16,15.0
1,2,17,16.0
1,2,18,17.0
1,2,19,18.0
1,2,20,19.0
1,2,21,20.0
1,2,22,21.0
1,2,23,22.0
1,2,24,23.0
1,2,25,24.0
1,2,26,25.0
1,2,27,26.0
1,2,28,27.0
1,2,29,28.0
1,2,30,29.0
1,2,31,30.0
1,2,32,31.0
1,2,33,32.0
1,2,34,33.0
1,2,35,34.0
1,2,36,35.0
1,2,37,36.0
1,2,38,37.0
1,2,39,38.0
1,2,40,39.0
1,2,41,40.0
1,3,1,0.0
1,3,2,1.0
1,3,3,2.0
1,3,4,3.0
1,3,5,4.0
1,3,6,5.0
1,3,7,6.0
1,3,8,7.0
1,3,9,8.0
1,3,10,9.0
1,3,11,10.0
1,3,12,11.0
1,3,13,12.0
1,3,14,13.0
1,3,15,14.0
1,3,16,15.0
1,3,17,16.0
1,3,18,17.0
1,3,19,18.0
1,3,20,19.0
1,3,21,20.0
1,3,22,21.0
1,3,23,22.0
1,3,24,23.0
1,3,25,24.0
1,3,26,24.0
1,3,27,24.0
1,3,28,24.0
1,3,29,24.0
1,3,30,23.99999999999982
1,3,31,24.0
1,3,32,24.0
1,3,33,24.0
1,3,34,24.0
1,3,35,24.0
1,3,36,23.99999999999986
1,3,37,23.999999999999854
1,3,38,24.00000000000033
