,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,2379502.652372396,0.04355330000000002,,4278694.500956661,556459.375,3457534.945791156,3947291.875
1,2640776.412684283,0.05293400000000004,,4750724.083249865,556459.375,3747675.5827712486,3947291.875
2,2909829.625497219,0.03412640000000011,,3985919.374607551,556459.375,3381412.68450591,3947291.875
3,2973226.774636399,0.03213709999999992,,4877430.595376038,556459.375,3564866.3257188555,3947291.875
4,3031150.1445555124,0.040333000000000174,,4673736.791963877,556459.375,3594878.149085176,3947291.875
5,2311692.358155562,0.02288139999999994,,3922260.3763136477,556459.375,3269453.0468041506,3947291.875
6,2631174.4394927365,0.06113370000000007,,4159132.591569719,556459.375,3188986.640148588,3947291.875
7,2226006.227898391,0.019198499999999896,,3501019.440540894,556459.375,3015864.392826343,3947291.875
8,1772277.2458311005,0.031602200000000025,,3814495.379178946,556459.375,3333134.126967244,3947291.875
9,2649060.84317804,0.03626590000000007,,4403210.204580089,556459.375,3565653.6394813336,3947291.875
10,2328105.4351399187,0.06898899999999974,,3572844.6074431445,556459.375,3139089.4321158775,3947291.875
11,2680887.832329388,0.01305259999999997,,4215018.430090936,556459.375,3464241.9726237697,3947291.875
12,2460587.94632768,0.016819300000000315,,4217588.928627055,556459.375,3462687.800134712,3947291.875
13,2684967.9372465466,0.02117260000000032,,3880897.0120128775,556459.375,3284933.9568271637,3947291.875
14,2391408.31379912,0.025070100000000206,,4186186.948708689,556459.375,3232563.588968953,3947291.875
15,2174394.911128538,0.026187399999999972,,4197611.092035128,556459.375,3212052.907666941,3947291.875
16,2773577.796093636,0.05068930000000016,,4401730.760049144,556459.375,3619465.1024806825,3947291.875
17,2750339.664419568,0.019426199999999838,,4002183.552429922,556459.375,3336080.1776377135,3947291.875
18,2663538.730895212,0.02179399999999987,,4172624.490372131,556459.375,3290449.527518098,3947291.875
19,2638801.853096573,0.023827199999999937,,4436675.848645444,556459.375,3664995.192759199,3947291.875
20,2486450.2013591514,0.020804100000000325,,3889603.1176200025,556459.375,3188609.0331975147,3947291.875
21,2362860.94791939,0.02163920000000008,,3637561.5956712724,556459.375,3189936.818844959,3947291.875
22,2122582.386102417,0.0259621000000001,,3883881.8695367477,556459.375,3346122.272109919,3947291.875
23,2654809.119825708,0.04576609999999981,,4145222.4480356406,556459.375,3395122.5919075464,3947291.875
24,3498218.700458131,0.01355940000000011,,4733986.205113972,556459.375,3964383.048057036,3947291.875
25,2469048.853842921,0.040385500000000185,,4236469.858231657,556459.375,3557118.0597075084,3947291.875
26,2821121.6544293067,0.020435700000000168,,4302962.876742125,556459.375,3478272.8591593476,3947291.875
27,2690724.6758639803,0.0358432999999998,,4222738.694878015,556459.375,3523799.5380315837,3947291.875
28,3022149.0852964483,0.036483800000000066,,4159973.5943122744,556459.375,3566977.5023304285,3947291.875
29,2653345.186790291,0.046465899999999394,,4304183.904399356,556459.375,3591055.5242599514,3947291.875
