,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,19.0,19.0,13.0,13.000000000000002,6.0,8.0
2,10.0,10.0,3.0,2.9999999999999964,2.0,3.0
