,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev,cap_rev
time,1,2,3,4,5,6
room,,,,,,
1,19.0,9.0,9.0,8.0,11.0,16.0
2,10.0,4.0,5.0,4.0,3.0,3.0
