,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,344101.5687092426,449.0506250000035,0.04987232944695019,745497.3788638108,157350.0,592026.0182877097,535470.0
1,386383.82142478955,10832.741527000006,0.16311590696409395,691510.0781171147,157350.0,481901.16221007676,535470.0
2,385296.3743491176,3857.7053514,0.04991934658676095,446913.21770466823,157350.0,465969.81179103215,535470.0
3,414772.3793820442,10836.843940100007,0.12949070172681634,466041.6723303552,157350.0,469848.0720827234,535470.0
4,455151.3098211347,602.1255901999975,0.04944611899686986,535485.3691231982,157350.0,509093.963018913,535470.0
5,385122.41478802025,7477.662997000007,0.04996441053857447,511394.8060609272,157350.0,487320.87493997935,535470.0
6,300179.00963236694,3838.183793999997,0.049666694878691096,457266.3997871235,157350.0,481415.5784198489,535470.0
7,442343.3943161492,10815.960211900005,0.12521828368340443,514091.8171596147,157350.0,519248.992915465,535470.0
8,452473.5838863107,3802.635621600013,0.04991636434446782,640198.8465730083,157350.0,540435.9141920044,535470.0
9,437956.23479176697,4382.5665131999995,0.04991086842248229,618984.0707591822,157350.0,540414.4149550849,535470.0
