,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,2454916.33627493,0.010251400000000022,,3266701.8311797325,1112918.75,3583997.866249632,4058583.75
1,2968964.555072951,0.010201799999999928,,3476949.9013397605,1112918.75,3738599.3705922435,4058583.75
2,2673984.686095191,0.014015599999999573,,3606910.2835317883,1112918.75,3966322.8761122255,4058583.75
3,2343721.7942873393,0.017732699999999824,,3476535.016623052,1112918.75,3555250.8763733003,4058583.75
4,2718027.756092036,0.022352900000000453,,3454212.4946001833,1112918.75,3657897.320597443,4058583.75
