gurobi_obj,gurobi_time,gurobi_mip_gap,gurobi_agent_ub,gurobi_ind_ub,gurobi_capacity_value,gurobi_income_ub,algo_obj,algo_time,est_optimal,algo_obj_ratio_by_gurobi,algo_time_ratio_by_gurobi,algo_obj_ratio_by_est,algo_overbooking_obj,algo_overbooking_time,algo_overbooking_obj_ratio_by_gurobi,algo_overbooking_time_ratio_by_gurobi,algo_overbooking_obj_ratio_by_est
440545.6233716238,0.8783262999999977,0.0,926573.4623540492,236025.0,592323.0207294901,551205.0,402979.84081426857,0.0016558999999998,440545.6233716238,0.9147289620769504,0.0018852902389462827,0.9147289620769504,402469.0562291349,0.0014856999999999,0.9135695257824199,0.0016915125961728618,0.9135695257824199
451674.040038915,0.945045399999998,0.033283986446944,870763.3121462313,236025.0,485551.7820773132,551205.0,412477.62080842175,0.0018669999999998,467225.15579196607,0.9132196766785264,0.0019755664648489946,0.8828240853368758,449626.6530314688,0.0013810000000002,0.9954671138344152,0.0014613054568597475,0.9623339999091721
479448.678407239,0.9831208000000018,0.0020704743159537,571749.1736069517,236025.0,473151.1592881592,551205.0,473691.42145274056,0.0019517000000002,480443.4241772669,0.9879919223604403,0.0019852087352848157,0.9859463104608233,483796.66751734185,0.0022856000000004,1.0090687268646712,0.0023248414640402236,1.0069794759826658
498590.2799584249,0.9389048000000032,0.0155603750577976,590593.9330707592,236025.0,476437.42540101387,551205.0,483452.2608904209,0.0019743999999999,506471.16118238104,0.9696383590364691,0.0021028756057055982,0.9545504224994342,492789.965170986,0.0023455999999999,0.9883665706681595,0.0024982298524833316,0.9729872161339738
528967.7904238496,0.917490700000002,0.0,653080.4692263237,236025.0,512452.7200151721,551205.0,502086.2893422157,0.0017689,528967.7904238496,0.9491812137368622,0.00192797594569623,0.9491812137368622,502285.702766452,0.0020461000000002,0.9495581996854329,0.0022301043487418406,0.9495581996854329
457813.1868058597,0.9462666000000012,0.0,635136.7175408694,236025.0,492645.6461117075,551205.0,434758.9185372618,0.0015031999999997,457813.1868058597,0.9496426294981881,0.0015885586577817478,0.9496426294981881,449300.0457748561,0.0015622000000004,0.9814047710368516,0.001650908951029655,0.9814047710368516
378500.3503712286,0.8560536999999968,3.075699182649529e-16,571274.4181351194,236025.0,487140.1115129785,551205.0,374761.2078890313,0.000801,378500.3503712287,0.9901211650701778,0.0009356889643722152,0.9901211650701774,369298.7940015848,0.0011100000000006,0.9756894376435346,0.0012966476285314861,0.9756894376435342
554859.8848039707,0.9733744999999984,0.0,650300.306206729,236025.0,522563.2332696077,551205.0,554859.8848039707,0.0009617999999997,554859.8848039707,1.0,0.0009881088933393074,1.0,553242.5327141786,0.0012727999999997,0.9970851161994464,0.0013076159278876756,0.9970851161994464
533562.9389548872,0.934178700000004,2.1818479757039075e-16,772079.961285298,236025.0,541183.6952918391,551205.0,479892.94021610543,0.0013431999999999,533562.9389548873,0.8994120565346845,0.0014378405330799065,0.8994120565346843,474103.0661766727,0.0019014000000003,0.8885607143279458,0.0020353707486590006,0.8885607143279456
466615.3804858544,1.0368537999999958,0.048823268447359,750059.8294263879,236025.0,540649.6171085892,551205.0,449163.61146409,0.0016443000000001,490566.437347748,0.9625992417918307,0.0015858552092880467,0.9156020006026039,502062.1515625008,0.0016823000000005,1.075965715145819,0.001622504542106618,1.0234335521951001
